SM_ID,相位偏移,角度(度)
SM_0,0.000000,0.00
SM_1,0.005025,1.81
SM_2,0.009709,3.50
SM_3,0.016575,5.97
SM_4,0.024540,8.83
SM_5,0.031915,11.49
SM_6,0.039735,14.30
SM_7,0.047337,17.04
SM_8,0.055556,20.00
SM_9,0.063291,22.78
SM_10,0.070866,25.51
SM_11,0.078788,28.36
SM_12,0.086705,31.21
SM_13,0.094675,34.08
SM_14,0.102362,36.85
SM_15,0.110092,39.63
SM_16,0.118110,42.52
SM_17,0.126126,45.41
SM_18,0.133929,48.21
SM_19,0.141509,50.94
SM_20,0.149485,53.81
SM_21,0.157233,56.60
SM_22,0.164894,59.36
SM_23,0.172932,62.26
SM_24,0.180791,65.08
SM_25,0.188679,67.92
SM_26,0.196429,70.71
SM_27,0.204545,73.64
SM_28,0.212291,76.42
SM_29,0.220000,79.20
SM_30,0.227848,82.03
SM_31,0.235772,84.88
SM_32,0.243478,87.65
SM_33,0.251852,90.67
SM_34,0.259459,93.41
SM_35,0.267241,96.21
SM_36,0.275132,99.05
SM_37,0.282828,101.82
SM_38,0.290780,104.68
SM_39,0.298507,107.46
SM_40,0.306452,110.32
SM_41,0.314136,113.09
SM_42,0.321918,115.89
SM_43,0.329609,118.66
SM_44,0.338129,121.73
SM_45,0.345679,124.44
SM_46,0.353591,127.29
SM_47,0.361446,130.12
SM_48,0.369128,132.89
SM_49,0.377049,135.74
SM_50,0.385093,138.63
SM_51,0.392593,141.33
SM_52,0.401198,144.43
SM_53,0.408377,147.02
SM_54,0.416107,149.80
SM_55,0.424000,152.64
SM_56,0.431953,155.50
SM_57,0.439655,158.28
SM_58,0.447552,161.12
SM_59,0.455357,163.93
SM_60,0.463158,166.74
SM_61,0.471074,169.59
SM_62,0.478873,172.39
SM_63,0.486631,175.19
SM_64,0.494118,177.88
SM_65,0.503546,181.28
SM_66,0.510526,183.79
SM_67,0.518248,186.57
SM_68,0.525974,189.35
SM_69,0.534031,192.25
SM_70,0.541935,195.10
SM_71,0.549550,197.84
SM_72,0.557471,200.69
SM_73,0.565217,203.48
SM_74,0.573171,206.34
SM_75,0.580882,209.12
SM_76,0.588652,211.91
SM_77,0.596386,214.70
SM_78,0.604396,217.58
SM_79,0.612245,220.41
SM_80,0.620000,223.20
SM_81,0.627907,226.05
SM_82,0.635514,228.79
SM_83,0.643617,231.70
SM_84,0.651376,234.50
SM_85,0.659091,237.27
SM_86,0.668449,240.64
SM_87,0.675159,243.06
SM_88,0.682927,245.85
SM_89,0.690608,248.62
SM_90,0.698413,251.43
SM_91,0.706349,254.29
SM_92,0.713568,256.88
SM_93,0.721893,259.88
SM_94,0.729927,262.77
SM_95,0.737805,265.61
SM_96,0.745562,268.40
SM_97,0.753769,271.36
SM_98,0.761364,274.09
SM_99,0.768844,276.78
SM_100,0.776860,279.67
SM_101,0.784810,282.53
SM_102,0.792593,285.33
SM_103,0.801170,288.42
SM_104,0.808333,291.00
SM_105,0.816176,293.82
SM_106,0.824121,296.68
SM_107,0.831776,299.44
SM_108,0.839744,302.31
SM_109,0.847619,305.14
SM_110,0.855172,307.86
SM_111,0.863158,310.74
SM_112,0.871166,313.62
SM_113,0.879032,316.45
SM_114,0.886792,319.25
SM_115,0.894737,322.11
SM_116,0.902597,324.94
SM_117,0.910345,327.72
SM_118,0.918129,330.53
SM_119,0.926174,333.42
SM_120,0.933884,336.20
SM_121,0.941748,339.03
SM_122,0.949495,341.82
SM_123,0.957317,344.63
SM_124,0.964824,347.34
SM_125,0.972826,350.22
SM_126,0.980519,352.99
SM_127,0.988024,355.69
