label,conductor,true_rank,det_rank,A,L_pmax,correct,L_2000,L_5000,L_10000,L_50000,L_200000,L_1000000
11.a1,11,0,0,4.349558e-01,4.388714e-01,True,4.262417e-01,4.762243e-01,4.409989e-01,4.549196e-01,4.423521e-01,4.388714e-01
14.a1,14,0,0,3.619538e-01,3.390454e-01,True,3.983097e-01,3.428721e-01,3.514897e-01,3.367938e-01,3.841662e-01,3.390454e-01
15.a1,15,0,0,5.009335e-01,5.348513e-01,True,4.750363e-01,4.342907e-01,5.282244e-01,5.044919e-01,4.855412e-01,5.348513e-01
17.a1,17,0,0,4.092051e-01,5.422829e-01,True,6.301802e-01,5.471151e-01,6.041599e-01,5.233673e-01,5.407874e-01,5.422829e-01
19.a1,19,0,0,5.087644e-01,4.725611e-01,True,4.779491e-01,5.155440e-01,4.608627e-01,5.289361e-01,4.921533e-01,4.725611e-01
21.a1,21,0,0,6.896001e-01,5.901281e-01,True,5.142149e-01,6.169557e-01,5.294479e-01,5.371975e-01,5.508369e-01,5.901281e-01
26.a1,26,0,0,4.910611e-01,5.525449e-01,True,5.232063e-01,5.652165e-01,5.645723e-01,5.065716e-01,5.124536e-01,5.525449e-01
30.a1,30,0,0,2.307272e-01,5.503676e-01,True,5.984148e-01,6.512402e-01,7.043808e-01,6.637660e-01,5.853628e-01,5.503676e-01
37.a1,37,1,1,2.239250e-03,2.273980e-02,True,4.250972e-02,3.686356e-02,3.256644e-02,2.865772e-02,2.464472e-02,2.273980e-02
43.a1,43,1,1,-8.536649e-03,2.299730e-02,True,4.639090e-02,4.161347e-02,3.886350e-02,3.312715e-02,2.759777e-02,2.299730e-02
53.a1,53,1,0,-9.490565e-05,9.362246e-02,False,1.702028e-01,1.518860e-01,1.404815e-01,1.195457e-01,1.059759e-01,9.362246e-02
61.a1,61,1,0,1.555513e-02,2.534387e-02,False,4.591020e-02,5.025402e-02,3.291442e-02,3.432016e-02,3.304536e-02,2.534387e-02
79.a1,79,1,0,5.583298e-01,6.875141e-01,False,5.181156e-01,7.979747e-01,6.948689e-01,7.319901e-01,5.924982e-01,6.875141e-01
83.a1,83,1,1,-4.682363e-03,3.397041e-02,True,5.945602e-02,4.563886e-02,5.052283e-02,4.453830e-02,3.353892e-02,3.397041e-02
571.a1,571,1,2,-1.187260e-03,2.180350e-03,False,7.261225e-03,5.421978e-03,3.926209e-03,3.896473e-03,2.885144e-03,2.180350e-03
643.a1,643,1,1,-4.621770e-03,3.353081e-02,True,5.868662e-02,4.504826e-02,4.986903e-02,4.396194e-02,3.310491e-02,3.353081e-02
389.a1,389,2,2,-1.188194e-03,2.182066e-03,True,7.266940e-03,5.426245e-03,3.929299e-03,3.899539e-03,2.887415e-03,2.182066e-03
709.a1,709,1,1,-4.620921e-03,3.352465e-02,True,5.867583e-02,4.503999e-02,4.985987e-02,4.395386e-02,3.309882e-02,3.352465e-02
5077.a1,5077,3,2,-1.036615e-03,2.154152e-04,False,1.185814e-03,9.894617e-04,8.072077e-04,4.570775e-04,2.941563e-04,2.154152e-04
997.a1,997,1,0,7.864969e-01,1.629146e+00,False,1.236353e+00,1.560616e+00,1.978244e+00,1.384864e+00,1.513067e+00,1.629146e+00
443.a1,443,2,1,2.186770e-03,2.220686e-02,False,4.151344e-02,3.599960e-02,3.180319e-02,2.798608e-02,2.406714e-02,2.220686e-02
