N,ratio,n_primes,n_pk,n_multi,time_s,trend_residual
1000,19.65,147,8,77,1.0,2.0610967775764735
5000,16.34,586,45,536,0.0,-3.238697443332409
10000,16.94,1074,92,1166,0.0,-3.4956551696677742
50000,19.1,4499,477,6691,0.1,-3.325449390576658
100000,21.69,8400,963,13969,0.2,-1.5924071169120246
500000,31.69,36364,4861,75442,0.9,6.4177986621790915
1000000,32.18,68688,9744,154900,1.7,6.050840935843723
5000000,31.83,304989,48894,812784,8.7,3.711046714934838
10000000,30.64,581573,97881,1653878,17.5,1.6640889885994739
100000000,23.57,5041468,980221,17311643,186.0,-8.252662958644777
1000000000,51048.98,50847532,3633,215815501,826.9,0
