a,b,ratio
0.3,0.02,2690803343659462656
0.3,0.05,2533488187999639040
0.3,0.1,2291459304606441216
0.3,0.15,2072542280614226688
0.3,0.2,1874531024866760704
0.3,0.3,1533433835701916672
0.3,0.5,1026090280886781440
0.5,0.02,2705654627033491968
0.5,0.05,2547288292519066112
0.5,0.1,2303650691894012928
0.5,0.15,2083289728486862080
0.5,0.2,1883984053208698624
0.5,0.3,1540691810242492928
0.5,0.5,1030211220183880832
0.8,0.02,2724155628001785344
0.8,0.05,2564765671916272640
0.8,0.1,2319512720128445440
0.8,0.15,2097647703938031872
0.8,0.2,1896946092137920256
0.8,0.3,1551170304303687168
0.8,0.5,1036823216700396544
1.0,0.02,2733954504045476352
1.0,0.05,2574243802119175168
1.0,0.1,2328437924960975360
1.0,0.15,2106007533412679936
1.0,0.2,1904738106995928576
1.0,0.3,1557849720585620992
1.0,0.5,1041500931192169600
1.2,0.02,2741732030211097088
1.2,0.05,2581979742997160448
1.2,0.1,2336027808107125248
1.2,0.15,2113374277570320640
1.2,0.2,1911823264827564032
1.2,0.3,1564256160341018880
1.2,0.5,1046379301783580032
1.5,0.02,2749644333256581120
1.5,0.05,2590326455660244480
1.5,0.1,2344884765306315264
1.5,0.15,2122515833660180992
1.5,0.2,1921065531980644352
1.5,0.3,1573285583322787072
1.5,0.5,1054027432456485376
1.8,0.02,2753131451582804480
1.8,0.05,2594799383248880128
1.8,0.1,2350685099452312064
1.8,0.15,2129303195670024192
1.8,0.2,1928554506797040640
1.8,0.3,1581505277043435520
1.8,0.5,1061982757809806080
2.0,0.02,2753057996831914496
2.0,0.05,2595661224742977024
2.0,0.1,2352848304377353216
2.0,0.15,2132487210750191360
2.0,0.2,1932520953037787392
2.0,0.3,1586463729992185088
2.0,0.5,1067392089821995008
