a,b,ratio,Kp,Kpk
1.5,0.05,209.45326345861736,1334.3252098244513,6.370515253814988
1.5,0.08,208.96051068368638,1312.284470601274,6.28005964527787
1.5,0.12,208.30347579837814,1283.5982770269645,6.162154866150144
1.5,0.15,207.8107256419816,1262.596517184629,6.075704289488132
1.5,0.2,206.98963721282126,1228.541216966543,5.935278855063597
1.5,0.3,205.3486931505903,1163.8265938658747,5.667562700349862
1.2,0.05,195.13644681502097,1586.9711984103483,8.132623219867854
1.2,0.08,194.58201989162887,1562.7748227099296,8.03144516425673
1.2,0.12,193.84393799032915,1531.260753523877,7.8994513287295645
1.2,0.15,193.29130034265103,1508.1721585635603,7.802586851503383
1.2,0.2,192.37212855021758,1470.7022297092458,7.645089965957974
1.2,0.3,190.5415991359634,1399.3882389226683,7.344266266623054
1.0,0.05,181.93647321131994,1816.0904015622762,9.982002890936991
1.0,0.08,181.3382247312375,1790.2072261457279,9.872200021804588
1.0,0.12,180.54304584002512,1756.4785029605084,9.728862691930445
1.0,0.15,179.9485860407298,1731.7542503617985,9.623605766870716
1.0,0.2,178.96161923092276,1691.6054153611758,9.45233633128015
1.0,0.3,177.00266082162037,1615.1047987998165,9.12474869757741
0.8,0.05,163.85407801073472,2122.4489884780883,12.953287548565244
0.8,0.08,163.2180766912285,2094.6271475133804,12.833303700030351
0.8,0.12,162.37452839703815,2058.3512581521813,12.67656496663751
0.8,0.15,161.74525775644526,2031.7444117006746,12.561384734754075
0.8,0.2,160.70304207140228,1988.5096971257137,12.373814904152189
0.8,0.3,158.6438243737809,1906.0252942645216,12.014494114651027
0.5,0.05,120.65187867704653,2841.7915732200845,23.55364544987166
0.5,0.08,120.03090815849404,2810.4508871579746,23.414393261500052
0.5,0.12,119.21125748716648,2769.5471127415362,23.232261542410857
0.5,0.15,118.60273697923307,2739.516446972554,23.098256555851943
0.5,0.2,117.60033956074335,2690.663201507727,22.879723065067648
0.5,0.3,115.63954600982717,2597.260951045237,22.459971875231325
0.3,0.05,78.52712603386537,3671.763369197133,46.75789825306557
0.3,0.08,78.05538380118107,3637.539145161993,46.60202753505586
0.3,0.12,77.435268488471,3592.8390747482536,46.39796755251356
0.3,0.15,76.9767570380585,3559.996890829553,46.24768602643829
0.3,0.2,76.22491068435929,3506.5244212537955,46.00234214473544
0.3,0.3,74.76645474115674,3404.126176081819,45.53012695154512
