sweep,W44
2000,0.16231148054584654
2100,0.1459095988447822
2200,0.22344492682625802
2300,0.12822756183455752
2400,-0.10986718265661392
2500,0.010561284301194594
2600,0.046969311739355445
2700,-0.10705393489503168
2800,0.07219748530896411
2900,-0.0880382151084701
3000,0.020023768468799406
3100,-0.03307411441172747
3200,-0.02114078818750897
3300,0.09507507666189108
3400,0.02395381428114772
3500,0.08714176869899626
3600,0.1519449571920416
3700,-0.002910013676109019
3800,-0.20182107415476497
3900,0.040602342931179786
4000,0.12946305627928706
4100,0.05857309086073114
4200,0.02424050365396335
4300,-0.014363550359548394
4400,0.1716500389508897
4500,-0.1070577511624874
4600,0.05090715830266709
4700,-0.03348475064963337
4800,-0.04900083640226148
4900,0.04034350282394351
MEAN,0.030524,SE,0.017912,TIME,996s
