sweep,W22
100,-0.05327783143981185
101,-0.04135449794393784
102,0.0074339264130879185
103,0.06702692329840684
104,0.054764289490450514
105,-0.056830160236362046
106,-0.08357775452585568
107,-0.1349105407255886
108,0.04830881792696849
109,0.12419925273135501
110,-0.15644376680039257
111,0.1767873235200895
112,0.04851165602777443
113,-0.009854360661383343
114,0.013241701644694147
115,0.007479948570994727
116,-0.058216744105881665
117,-0.17790586039349343
118,0.11682959461606479
119,0.043354699530765914
120,-0.2464468042148405
121,0.1138038898513719
122,0.02252662270852175
123,-0.13842423601981063
124,-0.15080292663030734
125,-0.0037559902003681672
126,0.063568895220121
127,-0.007088139386013527
128,-0.049789496202191225
129,-0.06388491182777202
130,-0.13187383552744486
131,-0.2321188573898049
132,0.11351863731146528
133,0.021001351769310766
134,-0.06342314518969223
135,-0.040818537233423824
136,-0.12210362832578402
137,-0.0876241210675168
138,-0.11121776017930682
139,0.050499417182453904
140,-0.12519550102377758
141,0.06762438729701262
142,-0.10027354647777574
143,0.28622777885514267
144,0.1868954037824933
145,0.06741456886635529
146,0.010356156808157845
147,0.23753995808992345
148,-0.08106170239335161
149,-0.04380567133449061
150,0.09302526224893876
151,0.030554927563689716
152,-0.08422692506098625
153,0.10935802742123878
154,0.11343445182196404
155,0.20019136690836611
156,-0.05317627537841928
157,-0.060654936873234006
158,-0.09072048371441041
159,0.24273778053102238
160,-0.11629238537821039
161,-0.05183207896124083
162,0.07840831468869588
163,0.015180852478229758
164,-0.0252603357617806
165,-0.20483137898259185
166,-0.2374614039414001
167,-0.21553003330892884
168,0.20066221866561104
169,-0.07954336844128751
170,-0.06194362728246624
171,-0.11423443401480796
172,-0.081991128306611
173,0.17739102994653355
174,0.09569631726954311
175,0.17798840422662643
176,-0.2071371426860123
177,0.14501756697162432
178,-0.16234576264611572
179,-0.19785518083464457
180,0.050899712173821464
181,0.13425942589908127
182,0.005374330324581164
183,-0.38323833365268184
184,-0.00034205458196376326
185,0.20836176958697017
186,0.05857838918849472
187,0.03513992174044377
188,-0.21521369796047973
189,-0.2714529330879024
190,0.03381737961930639
191,-0.10542381610060834
192,-0.09297635847172947
193,-0.0045334075357549575
194,-0.2567983167497853
195,-0.08613249710390357
196,-0.15672649734695882
197,0.018256097216476454
198,-0.03277563079152171
199,-0.1488646131683562
200,0.027053415469895786
201,-0.03557875137619262
202,0.1270075656035338
203,-0.060736430913136935
204,-0.1379964195132354
205,-0.022129776211075675
206,-0.12914080962362023
207,-0.06360799582990503
208,0.05579009935650244
209,0.22065820886866722
210,-0.06097920945867596
211,0.21534640672980104
212,0.09756031927315793
213,0.2367582095977069
214,-0.018460952569856914
215,0.2138058910959214
216,0.1284183892518921
217,-0.0076562690656304154
218,0.06785518805193186
219,0.058008619252747445
220,-0.061191275141256773
221,0.16634246693556015
222,-0.1795006375320998
223,0.10846131247422666
224,-0.19686848145714161
225,0.018739142749800715
226,-0.07658124702229732
227,0.06999770187069196
228,0.020380142411886223
229,-0.0017634894231255034
230,0.07879209427359729
231,-0.0684854385267128
232,-0.10225650357779395
233,-0.17401715281440647
234,0.11622160083540611
235,-0.24121751707427203
236,-0.1078039953336836
237,0.1379075217902176
238,-0.0637848940208548
239,0.07001639803767554
240,-0.05971012268724121
241,-0.05373540941414345
242,0.08682309358517801
243,0.10580725077364396
244,0.18327208023655406
245,0.03881509295277721
246,-0.12084252416235856
247,0.09244230707057653
248,0.06898993155632774
249,0.1759958469897123
250,0.039431905700464925
251,0.030730921535905127
252,-0.011046716478944604
253,0.10506483844201009
254,0.17197648547552102
255,0.06059832892135007
256,0.024715861235241138
257,0.016563966726141716
258,-0.16423317222885483
259,0.03563799755191299
260,0.0025585083750889123
261,-0.22215485860965495
262,0.09113880521720222
263,0.009012156942998614
264,0.14915476487785936
265,-0.11215160313687283
266,0.025519457469896104
267,0.18261357355151614
268,-0.10406534993904384
269,-0.005438843189200104
270,-0.039811593462944175
271,-0.11582119092691336
272,0.01369051041816588
273,0.059679394183474614
274,0.03582807756682936
275,0.1999905077205389
276,-0.22919455823810317
277,-0.030315081727767507
278,0.0039439784457582505
279,-0.20791473982814773
280,0.06254244679514892
281,0.0796369107824218
282,-0.036763724799999044
283,0.06278738214623031
284,-0.13929512955998008
285,0.1233130690130799
286,0.10649722424920334
287,0.24345733988674767
288,-0.0014145129090370016
289,-0.18032776406014078
290,-0.205978342717522
291,0.049625289214970114
292,0.044416029255186534
293,-0.09130582923610628
294,0.16186260404134148
295,0.07305479829842579
296,0.03507485231102636
297,0.02893569523898401
298,-0.06846443706926056
299,0.0767517058574253
SUMMARY,0.076752
