sweep,W33
500,0.19218080126231055
525,0.13402845260635432
550,0.07310421150632804
575,-0.12317548281550285
600,0.3269356955131888
625,-0.040499446928083174
650,-0.37652495343734077
675,-0.14328145856652816
700,0.07291883673939675
725,-0.10182240665709885
750,0.16178799433902535
775,0.1464102555321831
800,0.23650984794569288
825,-0.04495954095870612
850,0.22900043979834672
875,-0.2789146739048798
900,0.16592248631406636
925,-0.1764680461002564
950,-0.027013152990336443
975,0.049775533833132275
MEAN,0.023796,STD,0.184717
